IC50
1600
3900
24700
11900
16700
10100
19700
18250
32800
100000
75100
6400
14800
660
13430
100
550
4200
62700
3200
2100
3700
3400
800
1100
1600
1600
3300
13000
23000
2200
3000
4900
4900
8400
5930
100000
100000
72900
18350
7560
13070
10320
10220
7870
7060
6510
14160
12200
10660
5800
10900
10500
7800
19100
12500
23800
18500
14600
2200
5900
3200
17800
19900
15900
19100
18900
20100
8300
7300
10100
13300
5700
18400
18100
9500
7400
5500
6800
4800
12600
11500
16800
13700
16400
12800
14200
9800
14900
17300
13200
13500
6500
9600
14100
20000
100
800
700
1100
500
900
1700
1400
1900
900
1100
600
600
1000
1100
700
300
1300
500
1100
2700
16400
4700
4900
10200
9700
23000
92900
8500
9500
4600
4830
8180
3150
6110
4770
4430
6880
51000
24200
71900
4400
8400
93
7
32
18
18
32
6
123
5400
2700
5000
24200
13400
6100
7100
1500
550
12800
3100
2750
95900
28000
34300
71900
10100
1200
43500
21300
26000
17000
7700
1600
26000
800
4300
15800
1300
2900
8500
3960
15000
130
210
440
520
310
380
650
1300
140
560
500
500
700
140
310
5800
100
360
300
320
650
920
930
1600
20100
3400
26000
27000
19600
5600
14500
10600
8400
13200
7500
40500
29000
4700
30.74
37.36
77.45
71.28
22.54
46.12
45.29
55.86
51.77
51.81
38.96
65.5
45.88
49.14
17.36
1100
620
11300
22500
3900
1700
7800
2700
8400
13000
13400
22300
21000
3600
1900
20600
17000
14900
5300
14800
1900
25000
2800
14900
6800
10200
13600
35000
4800
8100
13800
10110
9200
11750
66360
2200
5400
520
1900
800
10900
9470
590
7400
600
2500
1800
4600
12200
900
470
420
9900
1200
2100
1800
1100
3700
760
5400
500
18970
8300
1900
1400
48000
2000
5000
26600
5700
15380
23800
1000
3800
16500
2300
2700
17800
10720
23390
19440
2900
7000
2600
13300
7800
270
1700
4400
25000
4900
12480
13000
24000
7200
3100
790
29220
12000
6600
21760
15300
11200
8300
8400
8940
30000
14400
10400
42000
8700
4300
25600
24000
5000
22700
87800
8700
15890
8280
18310
20720
18050
9000
17600
23540
13400
25000
18550
11550
16290
23800
17850
12500
5840
10430
8000
85500
43600
22550
19740
20610
18940
16810
5640
18280
7350
5050
11440
17330
8860
2300
1100
17680
8290
7930
7120
5920
17950
1300
3620
17440
9600
44520
3630
3550
2950
3870
17890
3400
13000
3310
15720
4900
17300
3160
2000
21700
5470
200
17500
3450
60
2310
4600
9690
45600
4200
2800
8065
3980
3860
32800
2370
8900
3050
3710
15900
2410
46420
12600
12300
16700
19900
68000
29300
100000
2850
5060
15120
34900
3500
13000
7050
19710
3000
3000
18300
12530
2050
1100
1380
6600
4690
2570
51400
40700
4510
6020
5090
1100
3780
3260
3910
6180
7370
3090
5380
1680
1560
1490
5100
6330
3290
3270
1320
3950
2100
6260
3220
1270
6300
6100
1210
4120
3560
3260
880
2240
7010
5270
4260
53300
8340
7630
1690
2300
3170
5320
1480
1380
2160
4200
6100
7020
2070
1030
5540
50300
1620
3050
4600
9270
160
1980
470
800
3210
1340
5440
2160
160
3440
2190
2800
820
2300
810
9800
300
7940
55400
130
20300
1227
5671
777
1979
1303
2954
2126
9260
6696
10200
15040
4494
13270
19500
3990
31760
8065
49140
530
80
170
70
1540
13400
43700
1950
4800
33000
3300
600
7700
12.21
